,match_id,result,goals,team_id,team_name,team_rating,date,att_goal_low_left,won_contest,possession_percentage,total_throws,att_miss_high_left,blocked_scoring_att,total_scoring_att,att_sv_low_left,total_tackle,att_miss_high_right,aerial_won,att_miss_right,att_sv_low_centre,aerial_lost,accurate_pass,total_pass,won_corners,shot_off_target,ontarget_scoring_att,att_miss_left,fk_foul_lost,att_sv_low_right,att_goal_low_centre,total_offside,att_sv_high_left,att_goal_high_left,att_miss_high,att_goal_low_right,att_goal_high_right,att_sv_high_centre,att_post_high,post_scoring_att,att_sv_high_right,penalty_save,att_pen_goal,att_post_right,att_post_left,att_goal_high_centre
0,829513,3,2,13,Arsenal,7.015,16/08/2014,1,12,76,21,1,3,14,2,26,1,23,1,1,17,640,730,9,5,6,2,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,829513,0,1,162,Crystal Palace,6.62857142857143,16/08/2014,1,7,24,18,0,2,4,1,33,0,17,0,0,23,127,222,3,0,2,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,829514,0,1,184,Burnley,6.29857142857143,18/08/2014,0,3,38.6,35,1,1,9,0,12,0,27,3,0,20,288,413,4,6,2,2,6,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,829514,3,3,15,Chelsea,7.13428571428571,18/08/2014,2,12,61.4,29,0,4,11,0,19,1,20,1,0,27,551,668,3,4,3,1,7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,829515,1,2,14,Leicester,6.71428571428571,16/08/2014,0,6,36.7,12,0,3,11,0,13,0,27,2,0,14,265,344,3,5,3,1,16,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
5,829515,1,2,31,Everton,6.61,16/08/2014,0,9,63.3,17,1,5,13,0,19,0,14,1,1,27,509,605,6,5,3,2,10,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
6,829516,3,2,26,Liverpool,7.28076923076923,17/08/2014,1,15,56.1,22,2,2,12,1,16,0,23,0,1,14,514,601,2,5,5,1,8,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0
7,829516,0,1,18,Southampton,6.76615384615385,17/08/2014,0,10,43.9,27,1,2,12,2,35,1,14,2,1,23,345,450,6,4,6,0,11,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0
8,829517,0,1,32,Manchester United,6.70714285714286,16/08/2014,1,13,59.6,29,0,4,14,1,13,0,20,1,3,10,482,558,4,5,5,2,14,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
9,829517,3,2,259,Swansea,6.88642857142857,16/08/2014,0,4,40.4,23,0,1,5,1,19,0,10,0,0,20,307,383,0,0,4,0,20,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10,829518,0,0,23,Newcastle United,6.47142857142857,17/08/2014,0,14,44.2,22,1,3,12,0,23,0,14,1,0,16,382,460,3,9,0,3,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
11,829518,0,2,167,Manchester City,7.20928571428572,17/08/2014,0,6,55.8,14,1,3,13,0,29,1,16,0,1,14,511,593,3,5,5,1,11,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0
12,829519,0,0,171,Queens Park Rangers,6.715,16/08/2014,0,8,51,22,0,6,19,1,14,0,30,5,3,15,296,383,8,7,6,2,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
13,829519,0,1,214,Hull,7.17642857142857,16/08/2014,1,4,49,26,0,4,11,0,17,2,15,1,2,30,289,382,9,3,4,0,10,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,829520,0,0,96,Stoke,6.79923076923077,16/08/2014,0,9,63.1,36,0,6,12,2,27,0,30,1,0,9,432,517,2,4,2,2,14,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,829520,0,1,24,Aston Villa,6.76769230769231,16/08/2014,1,4,36.9,35,1,2,7,0,19,0,9,0,0,30,197,289,8,4,1,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
16,829521,0,2,175,West Bromwich Albion,6.54857142857143,16/08/2014,1,5,57.8,24,1,0,10,1,18,1,16,1,1,15,349,439,6,5,5,2,18,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
17,829521,0,2,16,Sunderland,6.87142857142857,16/08/2014,0,8,42.2,19,0,3,7,0,29,0,15,2,0,16,242,323,3,2,2,0,9,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,829522,0,0,29,West Ham,6.65928571428572,16/08/2014,0,5,46.6,15,1,4,18,0,17,0,15,1,2,12,344,414,8,10,4,5,12,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0
19,829522,0,1,30,Tottenham,6.92357142857143,16/08/2014,0,9,53.4,16,0,4,10,1,19,0,12,0,0,15,386,482,5,2,4,0,10,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
20,829523,0,0,24,Aston Villa,6.73214285714286,23/08/2014,0,8,40.4,16,0,4,10,0,17,0,17,3,0,17,270,348,7,6,0,1,11,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
21,829523,0,0,23,Newcastle United,6.67714285714286,23/08/2014,0,6,59.6,24,1,2,11,0,12,1,17,0,0,17,445,535,7,5,4,1,8,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
