,Unnamed: 0,match_id,result,goals,team_id,team_name,team_rating,date,won_corners,att_sv_low_centre,won_contest,total_tackle,aerial_lost,possession_percentage,accurate_pass,total_pass,att_sv_low_right,total_throws,shot_off_target,total_offside,blocked_scoring_att,ontarget_scoring_att,att_miss_high_right,aerial_won,att_miss_high,att_miss_left,total_scoring_att,fk_foul_lost,att_miss_right,att_goal_low_left,att_sv_low_left,att_goal_low_centre,att_miss_high_left,att_sv_high_centre,att_goal_low_right,att_sv_high_right,att_sv_high_left,att_pen_goal,att_goal_high_right,att_goal_high_left,post_scoring_att,att_post_left,att_post_right,att_post_high,att_goal_high_centre,penalty_save
0,0,958426,0,0,13,Arsenal,6.646153846153849,09/08/2015,5,3,22,12,19,61.8,481,556,3,18,7,3,9,6,1,32,2,2,22,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,958426,3,2,29,West Ham,7.286428571428571,09/08/2015,4,1,12,21,32,38.2,256,359,0,21,2,1,2,4,0,19,0,1,8,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,958427,0,0,183,Bournemouth,6.428571428571429,08/08/2015,6,0,3,14,17,58.4,464,548,0,30,7,0,2,2,2,17,1,1,11,13,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,3,958427,3,1,24,Aston Villa,7.173571428571429,08/08/2015,3,2,10,24,17,41.6,310,391,0,19,2,0,2,3,1,17,0,1,7,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,958428,1,2,15,Chelsea,6.667857142857139,08/08/2015,4,0,14,16,21,52.0,347,433,0,24,5,2,3,3,1,14,1,3,11,15,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
5,5,958428,1,2,259,Swansea,6.828571428571429,08/08/2015,8,2,13,22,14,48.0,322,399,3,22,2,4,5,10,0,21,1,0,17,16,1,0,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0
6,6,958429,1,2,31,Everton,6.752142857142861,08/08/2015,8,0,6,14,29,66.6,451,558,1,30,3,4,2,5,0,20,1,1,10,7,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0
7,7,958429,1,2,27,Watford,7.15142857142857,08/08/2015,2,1,11,25,20,33.4,200,286,2,14,3,1,3,5,1,29,0,1,11,13,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
8,8,958430,3,4,14,Leicester,7.252857142857139,08/08/2015,6,2,6,19,25,44.0,250,342,0,21,8,0,4,8,1,16,3,2,20,13,1,1,2,0,0,0,3,0,0,1,0,0,1,1,0,0,0,0
9,9,958430,0,2,16,Sunderland,6.51923076923077,08/08/2015,3,2,5,19,16,56.0,347,442,0,25,4,1,2,5,0,25,2,0,11,17,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,958431,3,1,32,Manchester United,6.833571428571429,08/08/2015,1,0,2,21,11,50.0,401,487,0,25,4,1,4,1,0,8,2,1,9,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,958431,0,0,30,Tottenham,6.607142857142861,08/08/2015,2,0,6,26,8,50.0,391,487,1,24,2,2,3,4,0,11,1,1,9,12,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
