,match_id,team_id,team_name,team_rating,goals,W/L/T,date,fk_foul_lost,won_contest,possession_percentage,total_throws,att_miss_high_left,blocked_scoring_att,total_scoring_att,att_sv_low_left,total_tackle,att_miss_high_right,aerial_won,att_miss_right,att_sv_low_centre,att_miss_high,aerial_lost,att_sv_low_right,total_pass,won_corners,shot_off_target,ontarget_scoring_att,att_miss_left,att_goal_low_left,total_offside,att_sv_high_centre,accurate_pass,att_goal_high_left,att_goal_low_centre,att_goal_high_centre,att_post_left,post_scoring_att,att_sv_high_left,att_sv_high_right,att_goal_high_right,att_goal_low_right,att_post_right,att_post_high,att_pen_goal,penalty_save
0,1190174,13,Arsenal,7.307142857,4,W,11/8/17,9,16,70,21,1,8,27,1,23,2,18,3,2,1,18,2,632,9,9,10,2,2,5,1,538,1,1,,,,,,,,,,,
1,1190174,14,Leicester,6.646428571,3,L,11/8/17,12,5,30,31,,,6,,17,,18,1,,1,18,,263,4,3,3,1,1,3,,167,,,2,,,,,,,,,,
2,1190175,211,Brighton,6.308571429,,L,12/8/17,6,7,21.8,18,,2,6,,10,,13,1,1,,13,,213,3,2,2,1,,6,1,130,,,,,,,,,,,,,
3,1190175,167,Manchester City,6.902857143,2,W,12/8/17,9,6,78.2,17,,5,14,,10,2,13,2,2,,13,1,768,10,5,4,,1,1,,691,,,,1,1,,,,,,,,
4,1190176,15,Chelsea,6.396428571,2,L,12/8/17,16,5,61.9,13,1,7,19,,10,2,17,1,2,,22,,521,8,6,6,2,1,2,,446,,1,,,,1,1,,,,,,
5,1190176,184,Burnley,7.052307692,3,W,12/8/17,11,2,38.1,7,,1,10,,8,,22,1,1,,17,,320,5,4,5,2,1,1,1,241,1,,,1,1,,,1,,,,,
6,1190177,162,Crystal Palace,6.536153846,,L,12/8/17,7,18,56.7,19,,3,14,2,24,,18,1,2,4,16,,391,12,7,4,2,,,,304,,,,,,,,,,,,,
7,1190177,166,Huddersfield,7.233571429,3,W,12/8/17,19,5,43.3,30,,,9,1,28,,16,,1,1,18,1,306,9,3,6,2,,2,1,199,1,,,,,,,1,,,,,
8,1190178,31,Everton,6.993571429,1,W,12/8/17,13,1,61.6,24,,2,9,1,17,1,19,,1,,25,,497,6,3,4,2,,2,1,392,,,1,,,,,,,,,,
9,1190178,96,Stoke,6.606153846,,L,12/8/17,10,10,38.4,27,,2,9,,18,,25,2,,1,19,1,292,7,6,1,3,,6,,211,,,,,,,,,,,,,
10,1190179,32,Manchester United,7.677857143,4,W,13/08/2017,19,23,55.4,21,,8,21,,14,1,23,1,1,3,13,,493,11,8,5,2,,1,,417,,1,,,1,,,,3,1,,,
11,1190179,29,West Ham,6.077857143,,L,13/08/2017,7,3,44.6,13,,2,9,,21,1,13,1,,2,23,,397,1,6,1,1,,4,1,316,,,,,1,,,,,,1,,
12,1190180,23,Newcastle United,6.281428571,,L,13/08/2017,6,4,26.9,26,1,,6,,12,,16,,1,1,15,1,245,5,4,2,2,,2,,157,,,,,,,,,,,,,
13,1190180,30,Tottenham,7.217857143,2,W,13/08/2017,10,10,73.1,26,,7,18,,16,,15,3,3,,16,1,702,7,5,6,1,,1,,628,,2,,1,1,,,,,,,,
14,1190181,18,Southampton,6.833571429,,T,12/8/17,10,6,59.6,26,2,11,29,,12,,17,6,,3,18,,518,13,16,2,4,,,,432,,,,,1,1,1,,,,1,,
15,1190181,259,Swansea,6.668571429,,T,12/8/17,13,4,40.4,15,,2,4,,11,,18,1,,,17,,365,,2,,1,,1,,284,,,,,,,,,,,,,
16,1190182,27,Watford,6.691428571,3,T,12/8/17,14,11,45.6,26,,1,9,,19,,22,3,,,25,,395,3,4,4,1,1,3,1,277,,1,,,,,,1,,,,,
17,1190182,26,Liverpool,6.78,3,T,12/8/17,8,6,54.4,27,,1,14,,20,,25,4,1,2,22,,477,3,8,5,1,1,1,,352,,,,,1,1,,1,1,,1,1,
18,1190183,175,West Bromwich Albion,7.028571429,1,W,12/8/17,15,1,28.7,30,1,1,16,1,19,1,12,1,1,3,18,3,242,8,9,6,3,1,2,,157,,,,,,,,,,,,,
19,1190183,183,Bournemouth,6.503571429,,L,12/8/17,3,5,71.3,14,2,5,9,,16,,18,,,,12,1,612,2,2,2,,,,1,527,,,,,,,,,,,,,
20,1190184,183,Bournemouth,6.330714286,,L,19/08/2017,6,6,55.8,21,,3,6,,11,,16,,1,1,17,,438,8,1,2,,,1,,338,,,,,,,1,,,,,,
21,1190184,27,Watford,7.207142857,2,W,19/08/2017,14,9,44.2,26,1,5,19,1,20,1,17,2,3,1,16,1,338,5,7,7,2,1,7,,265,,,,,,,,,1,,,,
22,1190185,184,Burnley,6.468461538,,L,19/08/2017,11,9,67.8,22,,5,20,,9,2,24,3,,5,20,,471,6,15,,5,,1,,374,,,,,,,,,,,,,
23,1190185,175,West Bromwich Albion,6.749230769,1,W,19/08/2017,11,6,32.2,29,1,2,8,,9,2,20,1,,,24,,228,5,5,1,1,,3,,127,,,,,,,,,1,,,,
24,1190186,166,Huddersfield,7.050714286,1,W,20/08/2017,13,5,52.7,23,,1,7,1,24,1,24,,,1,12,,456,7,3,3,1,,4,1,353,,,,,,,,1,,,,,
25,1190186,23,Newcastle United,6.421428571,,L,20/08/2017,10,9,47.3,29,1,5,13,1,18,,12,1,1,1,24,2,415,3,3,5,,,5,1,296,,,,,,,,,,,,,
26,1190187,14,Leicester,7.075384615,2,W,19/08/2017,8,8,45.2,17,,6,14,2,11,,17,2,,1,16,,427,6,4,4,1,1,1,,332,1,,,,,,,,,,,,
27,1190187,211,Brighton,6.187692308,,L,19/08/2017,10,5,54.8,22,,3,5,1,11,,16,,,,17,,526,2,,2,,,2,,435,,,,,,,1,,,,,,
